FNFNUM,TAXON,TAXAUTHOR,GENUS,SPECIES,SUBSPECIES,VARIETY,FORMA,CULTIVAR,SPAUT,SPSAUT,SPVAUT,SPFAUT,CULTAUT,FAMILY,SPCMT,PLCO,TAXNO,VALIDTAXNO,GRINVERIFY,USEAGE,USERID,CREATED,MODIFIED
"1","Abelmoschus esculentus","(L.) MOENCH","Abelmoschus","esculentus","","","","","(L.) MOENCH","","","","","Malvaceae","","","619","619","","F","DUKE","10-DEC-97","15-JUL-05"
"2","Abelmoschus manihot","(L.) MEDIK.","Abelmoschus","manihot","","","","","(L.) MEDIK.","","","","","Malvaceae","","","621","621","","F","DUKE","10-DEC-97","15-JUL-05"
"3","Abelmoschus moschatus","MEDIK.","Abelmoschus","moschatus","","","","","MEDIK.","","","","","Malvaceae","","375035002","623","623","","G","DUKE","10-DEC-97","15-JUL-05"
"4","Abies alba","MILLER","Abies","alba","","","","","MILLER","","","","","Pinaceae","","11010002","629","629","","M","DUKE","10-DEC-97","15-JUL-05"
"5","Abies balsamea","(L.) MILLER","Abies","balsamea","","","","","(L.) MILLER","","","","","Pinaceae","","11010003","635","635","","M","DUKE","10-DEC-97","15-JUL-05"
"6","Abies sachalinensis","MASTERS","Abies","sachalinensis","","","","","MASTERS","","","","","Pinaceae","","","713","713","","M","DUKE","10-DEC-97","15-JUL-05"
"7","Abrus precatorius","L.","Abrus","precatorius","","","","","L.","","","","","Fabaceae","Synonyms: Glycine abrus L.","","739","739","","M","DUKE","10-DEC-97","15-JUL-05"
"8","Acacia catechu","(L. f.) WILLD.","Acacia","catechu","","","","","(L. f.) WILLD.","","","","","Fabaceae","","283012058","803","803","","M","DUKE","10-DEC-97","15-JUL-05"
"9","Acacia decurrens","(WENDL.) WILLD.","Acacia","decurrens","","","","","(WENDL.) WILLD.","","","","","Fabaceae","","283012027","822","822","","G","DUKE","10-DEC-97","15-JUL-05"
"10","Acacia farnesiana","(L.) WILLD.","Acacia","farnesiana","","","","","(L.) WILLD.","","","","","Fabaceae","","","844","844","","G","DUKE","10-DEC-97","15-JUL-05"
"1439","Acacia lenticularis","","Acacia","lenticularis","","","","","","","","","","Fabaceae","","","903","903","","M","DUKE","10-DEC-97","15-JUL-05"
"11","Acacia leucophloea","(ROXB.) WILLD.","Acacia","leucophloea","","","","","(ROXB.) WILLD.","","","","","Fabaceae","","283012061","906","906","","G","DUKE","10-DEC-97","15-JUL-05"
"12","Acacia melanoxylon","R. BR.","Acacia","melanoxylon","","","","","R. BR.","","","","","Fabaceae","","283012010","926","926","","G","DUKE","10-DEC-97","15-JUL-05"
"1440","Acacia modesta","","Acacia","modesta","","","","","","","","","","Fabaceae","","","932","932","","M","DUKE","10-DEC-97","15-JUL-05"
"13","Acacia nilotica","(L.) WILLD. ex DELILE","Acacia","nilotica","","","","","(L.) WILLD. ex DELILE","","","","","Fabaceae","","283012003","312499","312499","","G","DUKE","10-DEC-97","15-JUL-05"
"14","Acacia senegal","(L.) WILLD.","Acacia","senegal","","","","","(L.) WILLD.","","","","","Fabaceae","Synonyms: Acacia verek, Mimosa senegal, Senegalia senegal","283012005","984","984","","G","DUKE","10-DEC-97","15-JUL-05"
"15","Acacia tortilis","(FORSSK.) HAYNE","Acacia","tortilis","","","","","(FORSSK.) HAYNE","","","","","Fabaceae","","283012014","312504","312504","","G","DUKE","10-DEC-97","15-JUL-05"
"16","Acalypha indica","L.","Acalypha","indica","","","","","L.","","","","","Euphorbiaceae","","328122004","400002","400002","","G","DUKE","10-DEC-97","15-JUL-05"
"17","Acanthopanax gracilistylis","W.W.SMITH","Acanthopanax","gracilistylis","","","","","W.W.SMITH","","","","","Araliaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1288","Acanthospermum hispidum","DC","Acanthospermum","hispidum","","","","","DC","","","","","Asteraceae","","","1077","1077","","","DUKE","10-DEC-97","15-JUL-05"
"1443","Acanthus ilicifolius","","Acanthus","ilicifolius","","","","","","","","","","Acanthaceae","","","1079","1079","","M","DUKE","10-DEC-97","15-JUL-05"
"18","Achillea millefolium","L.","Achillea","millefolium","","","","","L.","","","","","Asteraceae","Syns:ssp borealis, lanulosa,occid.,A.borealis,lanulosa,magna","580603001","1270","1270","","G","DUKE","10-DEC-97","15-JUL-05"
"19","Achillea moschata","JACQ.","Achillea","moschata","","","","","JACQ.","","","","","Asteraceae","","","","","","G","DUKE","10-DEC-97","15-JUL-05"
"20","Achyranthes aspera","BLUME","Achyranthes","aspera","","","","","BLUME","","","","","Amaranthaceae","","","401486","401486","","G","DUKE","10-DEC-97","15-JUL-05"
"21","Achyranthes bidentata","BLUME","Achyranthes","bidentata","","","","","BLUME","","","","","Amaranthaceae","","153040005","1314","1314","","G","DUKE","10-DEC-97","15-JUL-05"
"1414","Acinos alpinus var. meridionalis","(NYMAN) P.W.BALL","Acinos","alpinus","","meridionalis","","","(L.) MOENCH.","","(NYMAN) P.W.BALL","","","Lamiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1973","Acinos sp","","Acinos","sp","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1981","Acinos suaveolens","(SIBT. & SMITH) G. DON F.","Acinos","suaveolens","","","","","(SIBT. & SMITH) G. DON F.","","","","","Lamiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1441","Acinos thymoides","","Acinos","thymoides","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"22","Acokanthera schimperi","(A. DC.) OLIV.","Acokanthera","schimperi","","","","","(A. DC.) OLIV.","","","","","Apocynaceae","Synonyms: Carissa schimperi A. DC.","","411730","411730","","M","DUKE","10-DEC-97","15-JUL-05"
"23","Aconitum carmichaelii","DEBX.","Aconitum","carmichaelii","","","","","DEBX.","","","","","Ranunculaceae","","","400011","400011","","M","DUKE","10-DEC-97","15-JUL-05"
"24","Aconitum napellus","L.","Aconitum","napellus","","","","","L.","","","","","Ranunculaceae","","189020001","1347","1347","","M","DUKE","10-DEC-97","15-JUL-05"
"25","Acorus calamus","L.","Acorus","calamus","","","","","L.","","","","","Acoraceae","","44011001","1358","1358","","M","DUKE","10-DEC-97","15-JUL-05"
"1269","Acrocomia totai","MART.","Acrocomia","totai","","","","","MART.","","","","","Arecaceae","","","","","","","DUKE","10-DEC-97","15-JUL-05"
"1442","Acrotrema arnottianum","","Acrotrema","arnottianum","","","","","","","","","","Dilleniaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1159","Acrotrema uniflorum","HOOK.","Acrotrema","uniflorum","","","","","HOOK.","","","","","Dilleniaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"26","Actaea pachypoda","ELL.","Actaea","pachypoda","","","","","ELL.","","","","","Ranunculaceae","Synonyms: Actaea alba auct.","","404128","404128","","M","DUKE","10-DEC-97","15-JUL-05"
"27","Actaea rubra","","Actaea","rubra","","","","","","","","","","Ranunculaceae","","","1383","1383","","M","DUKE","10-DEC-97","15-JUL-05"
"28","Actaea spicata","L.","Actaea","spicata","","","","","L.","","","","","Ranunculaceae","","","1385","1385","","M","DUKE","10-DEC-97","15-JUL-05"
"29","Actinidia chinensis","PLANCHON","Actinidia","chinensis","","","","","PLANCHON","","","","","Actinidiaceae","","382010001","1405","1405","","F","DUKE","10-DEC-97","15-JUL-05"
"30","Actinidia polygama","(SIEBOLD & ZUCC.) MAXIM.","Actinidia","polygama","","","","","(SIEBOLD & ZUCC.) MAXIM.","","","","","Actinidiaceae","Synonyms: Trochostigma polygama Siebold & Zucc.","","1411","1411","","F","DUKE","10-DEC-97","15-JUL-05"
"1692","Adansonia digitata","","Adansonia","digitata","","","","","","","","","","Bombacaceae","","","1433","1433","","M","DUKE","10-DEC-97","15-JUL-05"
"1826","Adenocarpus complicatus","","Adenocarpus","complicatus","","","","","","","","","","Fabaceae","","","1453","1453","","M","DUKE","10-DEC-97","15-JUL-05"
"1827","Adenocarpus decorticans","","Adenocarpus","decorticans","","","","","","","","","","Fabaceae","","","406159","406159","","M","DUKE","10-DEC-97","15-JUL-05"
"1828","Adenocarpus foliolosus","","Adenocarpus","foliolosus","","","","","","","","","","Fabaceae","","","1454","1454","","M","DUKE","10-DEC-97","15-JUL-05"
"31","Adiantum capillus-veneris","L.","Adiantum","capillus-veneris","","","","","L.","","","","","Pteridaceae","","4004","401925","401925","","M","DUKE","10-DEC-97","15-JUL-05"
"32","Adiantum pedatum","L.","Adiantum","pedatum","","","","","L.","","","","","Pteridaceae","","","401921","401921","","M","DUKE","10-DEC-97","15-JUL-05"
"33","Adonis vernalis","L.","Adonis","vernalis","","","","","L.","","","","","Ranunculaceae","","","1505","1505","","M","DUKE","10-DEC-97","15-JUL-05"
"1212","Aegle marmelos","CORREA","Aegle","marmelos","","","","","CORREA","","","","","Rutaceae","","","1560","1560","","F","DUKE","10-DEC-97","15-JUL-05"
"1974","Aeolanthus myriantha","BAKER","Aeolanthus","myriantha","","","","","BAKER","","","","","Lamiaceae","Aeolanthus gamwellae Taylor","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1444","Aerva lanata","","Aerva","lanata","","","","","","","","","","Amaranthaceae","","","101478","101478","","M","DUKE","10-DEC-97","15-JUL-05"
"34","Aesculus hippocastanum","L.","Aesculus","hippocastanum","","","","","L.","","","","","Hippocastanaceae","Synonyms: Aesculus hippocastanum f. memmingeri (K. Koch) Sch","","1628","1628","","M","DUKE","10-DEC-97","15-JUL-05"
"35","Aethusa cynapium","L.","Aethusa","cynapium","","","","","L.","","","","","Apiaceae","","464156001","316872","316872","","M","DUKE","10-DEC-97","15-JUL-05"
"1975","Agastache foeniculum","(PURSH) KUNTZE","Agastache","foeniculum","","","","","(PURSH) KUNTZE","","","","","Lamiaceae","Lophanthus anisatus Benth.","","312121","312121","","M","DUKE","10-DEC-97","15-JUL-05"
"1976","Agastache nepetoides","(L.) KUNTZE","Agastache","nepetoides","","","","","(L.) KUNTZE","","","","","Lamiaceae","","","312122","312122","","M","DUKE","10-DEC-97","15-JUL-05"
"1977","Agastache pallidiflora","(HELLER) RYDBERG","Agastache","pallidiflora","","","","","(HELLER) RYDBERG","","","","","Lamiaceae","","","","","","","DUKE","10-DEC-97","15-JUL-05"
"1978","Agastache rugosa","(FISCHER & C. MEYER) KUNTZE","Agastache","rugosa","","","","","(FISCHER & C. MEYER) KUNTZE","","","","","Lamiaceae","","","1675","1675","","M","DUKE","10-DEC-97","15-JUL-05"
"36","Agastache urticifolia","(BENTH.) KUNTZE","Agastache","urticifolia","","","","","(BENTH.) KUNTZE","","","","","Lamiaceae","","","318669","318669","","M","DUKE","10-DEC-97","15-JUL-05"
"37","Agathosma betulina","(P. J. BERGIUS) PILLANS","Agathosma","betulina","","","","","(P. J. BERGIUS) PILLANS","","","","","Rutaceae","Barosma betulina is a synonym","302052001","70058","70058","","M","DUKE","10-DEC-97","15-JUL-05"
"38","Agave americana","L.","Agave","americana","","","","","L.","","","","","Agavaceae","","80054004","1690","1690","","G","DUKE","10-DEC-97","15-JUL-05"
"39","Agave sisalana","PERRINE","Agave","sisalana","","","","","PERRINE","","","","","Agavaceae","","80054003","1735","1735","","G","DUKE","10-DEC-97","15-JUL-05"
"1289","Ageratum conyzoides","L.","Ageratum","conyzoides","","","","","L.","","","","","Asteraceae","","","103793","103793","","","DUKE","10-DEC-97","15-JUL-05"
"1290","Aglaonema commutatum","SCHOTT.","Aglaonema","commutatum","","","","","SCHOTT.","","","","","Araceae","","","312530","312530","","","DUKE","10-DEC-97","15-JUL-05"
"40","Agrimonia eupatoria","L.","Agrimonia","eupatoria","","","","","L.","","","","","Rosaceae","","","1786","1786","","M","DUKE","10-DEC-97","15-JUL-05"
"41","Agrostemma githago","L.","Agrostemma","githago","","","","","L.","","","","","Caryophyllaceae","","173060001","1917","1917","","M","DUKE","10-DEC-97","15-JUL-05"
"1693","Agrostistachys hookeri","","Agrostistachys","hookeri","","","","","","","","","","Euphorbiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"42","Ailanthus altissima","(MILL.) SWINGLE","Ailanthus","altissima","","","","","(MILL.) SWINGLE","","","","","Simaroubaceae","","","2072","2072","","M","DUKE","10-DEC-97","15-JUL-05"
"1694","Ailanthus grandis","","Ailanthus","grandis","","","","","","","","","","Simaroubaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1979","Ajuga bracteosa","WALL.","Ajuga","bracteosa","","","","","WALL.","","","","","Lamiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1980","Ajuga chamaepitys","(L.) SCHREBER","Ajuga","chamaepitys","","","","","(L.) SCHREBER","","","","","Lamiaceae","","","316539","316539","","M","DUKE","10-DEC-97","15-JUL-05"
"1982","Ajuga iva","(L.) SCHREBER","Ajuga","iva","","","","","(L.) SCHREBER","","","","","Lamiaceae","","","401501","401501","","M","DUKE","10-DEC-97","15-JUL-05"
"1984","Ajuga remota","","Ajuga","remota","","","","","","","","","","Lamiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"43","Ajuga reptans","L.","Ajuga","reptans","","","","","L.","","","","","Lamiaceae","","","314389","314389","","M","DUKE","10-DEC-97","15-JUL-05"
"1162","Akania luceus","HOOK F.","Akania","luceus","","","","","HOOK F.","","","","","Akaniaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"44","Akebia quinata","(THUNB.) DECNE","Akebia","quinata","","","","","(THUNB.) DECNE","","","","","Lardizabalaceae","","","2103","2103","","F","DUKE","10-DEC-97","15-JUL-05"
"1160","Alangium lamarckii","LAM.","Alangium","lamarckii","","","","","LAM.","","","","","Alangiaceae","","","417465","417465","","M","DUKE","10-DEC-97","15-JUL-05"
"45","Albizia julibrissin","DURAZZ.","Albizia","julibrissin","","","","","DURAZZ.","","","","","Fabaceae","","","2136","2136","","M","DUKE","10-DEC-97","15-JUL-05"
"1829","Albizia procera","BENTH.","Albizia","procera","","","","","BENTH.","","","","","Fabaceae","","","2153","2153","","M","DUKE","10-DEC-97","15-JUL-05"
"46","Alchornea floribunda","MUELL. ARG.","Alchornea","floribunda","","","","","MUELL. ARG.","","","","","Euphorbiaceae","","","430356","430356","","M","DUKE","10-DEC-97","15-JUL-05"
"47","Aletris farinosa","L.","Aletris","farinosa","","","","","L.","","","","","Liliaceae","","","402441","402441","","M","DUKE","10-DEC-97","15-JUL-05"
"48","Aleurites fordii","HEMSL.","Aleurites","fordii","","","","","HEMSL.","","","","","Euphorbiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"49","Aleurites moluccana","(L.) WILLD.","Aleurites","moluccana","","","","","(L.) WILLD.","","","","","Euphorbiaceae","Synonyms: A.javanica, A.remyi, A.triloba, Jatropha moluccana","328143002","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1695","Aleurites montana","","Aleurites","montana","","","","","","","","","","Euphorbiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"50","Alisma plantago-aquatica","L.","Alisma","plantago-aquatica","","","","","L.","","","","","Alismataceae","","","2204","2204","","M","DUKE","10-DEC-97","15-JUL-05"
"51","Alliaria petiolata","(BIEB.) CAVARA & GRANDE","Alliaria","petiolata","","","","","(BIEB.) CAVARA & GRANDE","","","","","Brassicaceae","","","2210","2210","","G","DUKE","10-DEC-97","15-JUL-05"
"52","Allium ampeloprasum","L.","Allium","ampeloprasum","","","","","L.","","","","","Liliaceae","","73108001","2217","2217","","F","DUKE","10-DEC-97","15-JUL-05"
"53","Allium cepa","L.","Allium","cepa","","","","","L.","","","","","Liliaceae","","","2244","2244","","F","DUKE","10-DEC-97","15-JUL-05"
"54","Allium sativum var. sativum","L.","Allium","sativum var. sativum","","","","","L.","","","","","Liliaceae","","","315611","315611","","F","DUKE","10-DEC-97","15-JUL-05"
"55","Allium schoenoprasum","L.","Allium","schoenoprasum","","","","","L.","","","","","Liliaceae","","73108006","2369","2369","","F","DUKE","10-DEC-97","15-JUL-05"
"1445","Alnus crispa","","Alnus","crispa","","","","","","","","","","Betulaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"56","Alnus glutinosa","(L.) GAERTN.","Alnus","glutinosa","","","","","(L.) GAERTN.","","","","","Betulaceae","","","2448","2448","","M","DUKE","10-DEC-97","15-JUL-05"
"1446","Alnus maximowiczii","","Alnus","maximowiczii","","","","","","","","","","Betulaceae","","","2468","2468","","M","DUKE","10-DEC-97","15-JUL-05"
"1447","Alnus nepalensis","","Alnus","nepalensis","","","","","","","","","","Betulaceae","","","2471","2471","","M","DUKE","10-DEC-97","15-JUL-05"
"1448","Alnus rubra","","Alnus","rubra","","","","","","","","","","Betulaceae","","","105118","105118","","M","DUKE","10-DEC-97","15-JUL-05"
"1449","Alnus rugosa","","Alnus","rugosa","","","","","","","","","","Betulaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"57","Alocasia macrorrhiza","(L.) G. DON","Alocasia","macrorrhiza","","","","","(L.) G. DON","","","","","Araceae","","44069001","","","","F","DUKE","10-DEC-97","15-JUL-05"
"58","Aloe vera","(L.) BURM. f.","Aloe","vera","","","","","(L.) BURM. f.","","","","","Aloeaceae","","73085001","311403","311403","","G","DUKE","10-DEC-97","15-JUL-05"
"59","Aloysia citrodora","PALAU","Aloysia","citrodora","","","","","PALAU","","","","","Verbenaceae","Syns:A.triphylla,Lippia citrodora,L.triphylla,Verbena t.,Zap","","317750","317750","","G","DUKE","10-DEC-97","15-JUL-05"
"1450","Alphitonia excelsa","","Alphitonia","excelsa","","","","","","","","","","Rhamnaceae","","","2659","2659","","M","DUKE","10-DEC-97","15-JUL-05"
"1551","Alphitonia macrocarpa","","Alphitonia","macrocarpa","","","","","","","","","","Rhamnaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1452","Alphitonia petriei","","Alphitonia","petriei","","","","","","","","","","Rhamnaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1453","Alphitonia whitei","","Alphitonia","whitei","","","","","","","","","","Rhamnaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"60","Alpinia galanga","(L.) SW.","Alpinia","galanga","","","","","(L.) SW.","","","","","Zingiberaceae","Synonyms: Languas galanga (L.) Stuntz, Maranta galanga L.","96005002","2666","2666","","G","DUKE","10-DEC-97","15-JUL-05"
"61","Alpinia officinarum","HANCE","Alpinia","officinarum","","","","","HANCE","","","","","Zingiberaceae","Synonyms: Languas officinarum","96005001","101035","101035","","G","DUKE","10-DEC-97","15-JUL-05"
"1454","Alstonia scholaris","","Alstonia","scholaris","","","","","","","","","","Apocynaceae","","","2688","2688","","M","DUKE","10-DEC-97","15-JUL-05"
"62","Althaea officinalis","L.","Althaea","officinalis","","","","","L.","","","","","Malvaceae","","","2721","2721","","G","DUKE","10-DEC-97","15-JUL-05"
"1161","Alyxia buxifolia","R.BR.","Alyxia","buxifolia","","","","","R.BR.","","","","","Apocynaceae","","","2781","2781","","M","DUKE","10-DEC-97","15-JUL-05"
"1455","Alyxia levinei","","Alyxia","levinei","","","","","","","","","","Apocynaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1456","Amanoa oblongifolia","","Amanoa","oblongifolia","","","","","","","","","","Euphorbiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"63","Amaranthus sp.","","Amaranthus","sp.","","","","","","","","","","Amaranthaceae","","153011000","300025","300025","","F","DUKE","10-DEC-97","15-JUL-05"
"1291","Amaranthus spinosus","L.","Amaranthus","spinosus","","","","","L.","","","","","Amaranthaceae","","","2804","2804","","","DUKE","10-DEC-97","15-JUL-05"
"1292","Ambrosia artemisiifolia","L>","Ambrosia","artemisiifolia","","","","","L>","","","","","Asteraceae","","","103817","103817","","","DUKE","10-DEC-97","15-JUL-05"
"1293","Ambrosia cumanenesis","","Ambrosia","cumanenesis","","","","","","","","","","Asteraceae","","","","","","","DUKE","10-DEC-97","15-JUL-05"
"1696","Ammannia baccifera","","Ammannia","baccifera","","","","","","","","","","Lythraceae","","","401549","401549","","M","DUKE","10-DEC-97","15-JUL-05"
"64","Ammi majus","L.","Ammi","majus","","","","","L.","","","","","Apiaceae","","464124002","2899","2899","","M","DUKE","10-DEC-97","15-JUL-05"
"65","Ammi visnaga","(L.) LAM.","Ammi","visnaga","","","","","(L.) LAM.","","","","","Apiaceae","","464124001","2900","2900","","M","DUKE","10-DEC-97","15-JUL-05"
"66","Amomum xanthioides","WALL.","Amomum","xanthioides","","","","","WALL.","","","","","Zingiberaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1457","Amoora canarana","","Amoora","canarana","","","","","","","","","","Meliaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"67","Amorphophallus campanulatus","BLUME","Amorphophallus","campanulatus","","","","","BLUME","","","","","Araceae","","44040001","","","","F","DUKE","10-DEC-97","15-JUL-05"
"68","Amorphophallus konjac","K. KOCH","Amorphophallus","konjac","","","","","K. KOCH","","","","","Araceae","Synonyms: Amorphophallus rivieri, A. rivieri var. konjac","","2948","2948","","F","DUKE","10-DEC-97","15-JUL-05"
"1458","Ampelozizyphus amazonicus","","Ampelozizyphus","amazonicus","","","","","","","","","","Rhamnaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1270","Amphicarpaea bracteata","(L.) FERNALD","Amphicarpaea","bracteata","","","","","(L.) FERNALD","","","","","Fabaceae","","","313277","313277","","","DUKE","10-DEC-97","15-JUL-05"
"1830","Amphicarpaea edgworthii","BENTH.","Amphicarpaea","edgworthii","","","","","BENTH.","","","","","Fabaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1697","Amsonia grandiflora","","Amsonia","grandiflora","","","","","","","","","","Apocynaceae","","","400544","400544","","M","DUKE","10-DEC-97","15-JUL-05"
"69","Anabasis aphylla","L.","Anabasis","aphylla","","","","","L.","","","","","Chenopodiaceae","","","3051","3051","","M","DUKE","10-DEC-97","15-JUL-05"
"70","Anacardium occidentale","L.","Anacardium","occidentale","","","","","L.","","","","","Anacardiaceae","","","3060","3060","","F","DUKE","10-DEC-97","15-JUL-05"
"71","Anadenanthera colubrina","(VELL.) BRENAN.","Anadenanthera","colubrina","","","","","(VELL.) BRENAN.","","","","","Fabaceae","","","314078","314078","","M","DUKE","10-DEC-97","15-JUL-05"
"72","Anadenanthera peregrina","(L.) SPEG.","Anadenanthera","peregrina","","","","","(L.) SPEG.","","","","","Fabaceae","","283496002","100220","100220","","M","DUKE","10-DEC-97","15-JUL-05"
"73","Anamirta cocculus","WIGHT & ARN.","Anamirta","cocculus","","","","","WIGHT & ARN.","","","","","Menispermaceae","","","3069","3069","","M","DUKE","10-DEC-97","15-JUL-05"
"74","Ananas comosus","(L.) MERR.","Ananas","comosus","","","","","(L.) MERR.","","","","","Bromeliaceae","","","3074","3074","","F","DUKE","10-DEC-97","15-JUL-05"
"75","Anaphalis margaritacea","(L.) A. GRAY","Anaphalis","margaritacea","","","","","(L.) A. GRAY","","","","","Asteraceae","","","3086","3086","","G","DUKE","10-DEC-97","15-JUL-05"
"76","Anastatica hierochuntica","L.","Anastatica","hierochuntica","","","","","L.","","","","","Brassicaceae","","","3093","3093","","M","DUKE","10-DEC-97","15-JUL-05"
"77","Andira araroba","AGUIAR","Andira","araroba","","","","","AGUIAR","","","","","Fabaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"78","Andira inermis","HBK","Andira","inermis","","","","","HBK","","","","","Fabaceae","","","3115","3115","","M","DUKE","10-DEC-97","15-JUL-05"
"79","Andrographis paniculata","(BURM. f.) NEES","Andrographis","paniculata","","","","","(BURM. f.) NEES","","","","","Acanthaceae","","","414228","414228","","M","DUKE","10-DEC-97","15-JUL-05"
"80","Anemarrhena asphodeloides","BUNGE","Anemarrhena","asphodeloides","","","","","BUNGE","","","","","Liliaceae","","","3369","3369","","M","DUKE","10-DEC-97","15-JUL-05"
"1698","Anemone narcissiflora","","Anemone","narcissiflora","","","","","","","","","","Ranunculaceae","","","3391","3391","","M","DUKE","10-DEC-97","15-JUL-05"
"82","Anemone pulsatilla","L.","Anemone","pulsatilla","","","","","L.","","","","","Ranunculaceae","Pulsatilla vulgaris Mill. is a synonym","","100742","100742","","M","DUKE","10-DEC-97","15-JUL-05"
"83","Anethum graveolens","L.","Anethum","graveolens","","","","","L.","","","","","Apiaceae","Synonyms: Anethum sowa , Peucedanum graveolens","464171001","3412","3412","","F","DUKE","10-DEC-97","15-JUL-05"
"84","Angelica archangelica","L.","Angelica","archangelica","","","","","L.","","","","","Apiaceae","Synonyms: Angelica officinalis, Archangelica officinalis","464190001","3415","3415","","G","DUKE","10-DEC-97","15-JUL-05"
"85","Angelica dahurica","BENTH & HOOK.","Angelica","dahurica","","","","","BENTH & HOOK.","","","","","Apiaceae","","","3418","3418","","M","DUKE","10-DEC-97","15-JUL-05"
"86","Angelica laxiflora","DIELS","Angelica","laxiflora","","","","","DIELS","","","","","Apiaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"87","Angelica sinensis","(OLIV.) DIELS","Angelica","sinensis","","","","","(OLIV.) DIELS","","","","","Apiaceae","","","406655","406655","","M","DUKE","10-DEC-97","15-JUL-05"
"88","Aniba rosaeodora","DUCKE","Aniba","rosaeodora","","","","","DUCKE","","","","","Lauraceae","","","401553","401553","","M","DUKE","10-DEC-97","15-JUL-05"
"1985","Anisochilus carnosus","WALL.","Anisochilus","carnosus","","","","","WALL.","","","","","Lamiaceae","","","406910","406910","","M","DUKE","10-DEC-97","15-JUL-05"
"89","Anisodus tanguticus","(MAXIM.) PRASHER","Anisodus","tanguticus","","","","","(MAXIM.) PRASHER","","","","","Solanaceae","","","","","","M","DUKE","10-DEC-97","15-JUL-05"
"1986","Anisomeles indica","(L.) KUNTZE","Anisomeles","indica","","","","","(L.) KUNTZE","","","","","Lamiaceae","","","3464","3464","","M","DUKE","10-DEC-97","15-JUL-05"
"1194","Anisomeles malabarica","R.BR.","Anisomeles","malabarica","","","","","R.BR.","","","","","Lamiaceae","","","3465","3465","","M","DUKE","10-DEC-97","15-JUL-05"
"90","Annona cherimola","MILL.","Annona","cherimola","","","","","MILL.","","","","","Annonaceae","","206065001","3479","3479","","F","DUKE","10-DEC-97","15-JUL-05"
"1213","Annona diversifolia","SAFFORD","Annona","diversifolia","","","","","SAFFORD","","","","","Annonaceae","","","3481","3481","","","DUKE","10-DEC-97","15-JUL-05"
"1097","Annona glabra","L.","Annona","glabra","","","","","L.","","","","","Annonaceae","","","3484","3484","","F","DUKE","10-DEC-97","15-JUL-05"
"1098","Annona montana","L.","Annona","montana","","","","","L.","","","","","Annonaceae","","","3490","3490","","F","DUKE","10-DEC-97","15-JUL-05"
"91","Annona muricata","L.","Annona","muricata","","","","","L.","","","","","Annonaceae","","","3492","3492","","F","DUKE","10-DEC-97","15-JUL-05"
"92","Annona reticulata","L.","Annona","reticulata","","","","","L.","","","","","Annonaceae","","","3498","3498","","F","DUKE","10-DEC-97","15-JUL-05"
"93","Annona squamosa","L.","Annona","squamosa","","","","","L.","","","","","Annonaceae","","","3503","3503","","F","DUKE","10-DEC-97","15-JUL-05"
"94","Anogeissus latifolia","WALL.","Anogeissus","latifolia","","","","","WALL.","","","","","Combretaceae","","","3511","3511","","M","DUKE","10-DEC-97","15-JUL-05"
"1294","Anredera baselloides","(HBK) BAILL.","Anredera","baselloides","","","","","(HBK) BAILL.","","","","","Basellaceae","","","317855","317855","","","DUKE","10-DEC-97","15-JUL-05"
"95","Anthriscus cerefolium","(L.) HOFFM.","Anthriscus","cerefolium","","","","","(L.) HOFFM.","","","","","Apiaceae","","464046001","3595","3595","","G","DUKE","10-DEC-97","15-JUL-05"
