FNFNUM,TAXON,TAXAUTHOR,GENUS,SPECIES,SUBSPECIES,VARIETY,FORMA,CULTIVAR,SPAUT,SPSAUT,SPVAUT,SPFAUT,CULTAUT,FAMILY,SPCMT,PLCO,TAXNO,VALIDTAXNO,GRINVERIFY,USEAGE,USERID,CREATED,MODIFIED
"2266","Galega officinalis","L.","Galega","officinalis","","","","","L.","","","","","Fabaceae","","","70971","70971","","M","DUKE","10-DEC-99","15-JUL-05"
"2267","Peperomia galioides","KUNTH","Peperomia","galioides","","","","","KUNTH","","","","","Piperaceae","","","311835","311835","","M","DUKE","11-DEC-99","15-JUL-05"
"2268","Dryopteris marginalis","(L.) A. GRAY","Dryopteris","marginalis","","","","","(L.) A. GRAY","","","","","Dryopteridaceae","","","401951","401951","","M","DUKE","12-DEC-99","15-JUL-05"
"2269","Asplenium platyneuron","(L.) BRITTON ET AL.","Asplenium","platyneuron","","","","","(L.) BRITTON ET AL.","","","","","Aspleniaceae","","","401929","401929","","M","DUKE","13-DEC-99","15-JUL-05"
"2270","Cereus grandiflorus","","Cereus","grandiflorus","","","","","","","","","","Cactaceae","","","","","","M","DUKE","19-DEC-99","15-JUL-05"
"2271","Rubus phoenicolasius","MAXIM.","Rubus","phoenicolasius","","","","","MAXIM.","","","","","Rosaceae","","","32416","32416","","M","DUKE","24-JAN-00","15-JUL-05"
"2272","Rubus spectabilis","PURSH","Rubus","spectabilis","","","","","PURSH","","","","","Rosaceae","","","32449","32449","","M","DUKE","24-JAN-00","15-JUL-05"
"2273","Rubus parviflorus","NUTT.","Rubus","parviflorus","","","","","NUTT.","","","","","Rosaceae","Rubus nutkanus is a synonym","","32408","32408","","M","DUKE","24-JAN-00","15-JUL-05"
"2274","Cornus mas","L.","Cornus","mas","","","","","L.","","","","","Cornaceae","","","11563","11563","","M","DUKE","24-JAN-00","15-JUL-05"
"2275","Anemopsis californica","(NUTT.) HOOK. & ARN.","Anemopsis","californica","","","","","(NUTT.) HOOK. & ARN.","","","","","Saururaceae","","","3410","3410","","M","DUKE","08-FEB-00","15-JUL-05"
"2276","Aralia spinosa","L.","Aralia","spinosa","","","","","L.","","","","","Araliaceae","","","102537","102537","","M","DUKE","17-FEB-00","15-JUL-05"
"2277","Porophyllum ruderale","(JACQ.) CASS.","Porophyllum","ruderale","","","","","(JACQ.) CASS.","","","","","Asteraceae","","","29440","29440","","M","DUKE","18-FEB-00","15-JUL-05"
"2278","Sarracenia sp.","","Sarracenia","sp.","","","","","","","","","","Sarraceniaceae","","","404093","404093","","M","DUKE","24-FEB-00","15-JUL-05"
"2279","Sarracenia rubra subsp. subsp. wherryi","(CASE & R. B. CASE) D. E. SCHNELL","Sarracenia","rubra","subsp. wherryi","","","","WALTER","(CASE & R. B. CASE) D. E. SCHNELL","","","","Sarraceniaceae","Synonyms: Sarracenia alabamensis subsp. wherryi Case & R. B.","","","","","M","DUKE","24-FEB-00","15-JUL-05"
"2280","Sarracenia alata","A. W. WOOD","Sarracenia","alata","","","","","A. W. WOOD","","","","","Sarraceniaceae","Synonyms: Sarracenia gronovii var. alata A. W. Wood","","410908","410908","","M","DUKE","24-FEB-00","15-JUL-05"
"2281","Sarracenia rubra subsp. subsp. jonesii","(WHERRY) WHERRY","Sarracenia","rubra","subsp. jonesii","","","","WALTER","(WHERRY) WHERRY","","","","Sarraceniaceae","Synonyms: Sarracenia jonesii Wherry","","","","","M","DUKE","24-FEB-00","15-JUL-05"
"2282","Sarracenia leucophylla","RAF.","Sarracenia","leucophylla","","","","","RAF.","","","","","Sarraceniaceae","","","410912","410912","","M","DUKE","24-FEB-00","15-JUL-05"
"2283","Sarracenia minor","WALTER","Sarracenia","minor","","","","","WALTER","","","","","Sarraceniaceae","","","410911","410911","","M","DUKE","24-FEB-00","15-JUL-05"
"2284","Sarracenia oreophila","WHERRY","Sarracenia","oreophila","","","","","WHERRY","","","","","Sarraceniaceae","","","319346","319346","","M","DUKE","24-FEB-00","15-JUL-05"
"2285","Sarracenia psittacina","MICHX.","Sarracenia","psittacina","","","","","MICHX.","","","","","Sarraceniaceae","","","410913","410913","","M","DUKE","25-FEB-00","15-JUL-05"
"2286","Sarracenia purpurea","L.","Sarracenia","purpurea","","","","","L.","","","","","Sarraceniaceae","","","409890","409890","","M","DUKE","25-FEB-00","15-JUL-05"
"2287","Sarracenia rubra","WALTER","Sarracenia","rubra","","","","","WALTER","","","","","Sarraceniaceae","","","319341","319341","","M","DUKE","25-FEB-00","15-JUL-05"
"2288","Aloe descoingsii","REYNOLDS","Aloe","descoingsii","","","","","REYNOLDS","","","","","Aloeaceae","","","402359","402359","","M","DUKE","25-FEB-00","15-JUL-05"
"2289","Aloe globuligemma","POLE-EVANS","Aloe","globuligemma","","","","","POLE-EVANS","","","","","Aloeaceae","","","2544","2544","","M","DUKE","25-FEB-00","15-JUL-05"
"2290","Aloe krapohliana","MARLOTH","Aloe","krapohliana","","","","","MARLOTH","","","","","Aloeaceae","","","2554","2554","","M","DUKE","25-FEB-00","15-JUL-05"
"2291","Aloe ortholopha","","Aloe","ortholopha","","","","","","","","","","Aloeaceae","","","","","","M","DUKE","25-FEB-00","15-JUL-05"
"2292","Aloe viguieri","","Aloe","viguieri","","","","","","","","","","Aloeaceae","","","","","","M","DUKE","25-FEB-00","15-JUL-05"
"2293","Arisarum vulgare","O. TARG. TOZZ.","Arisarum","vulgare","","","","","O. TARG. TOZZ.","","","","","Araceae","Synonyms: Arum arisarum L.","","4021","4021","","M","DUKE","25-FEB-00","15-JUL-05"
"2294","Arum italicum","MILL.","Arum","italicum","","","","","MILL.","","","","","Araceae","","","406582","406582","","M","DUKE","25-FEB-00","15-JUL-05"
"2295","Arum maculatum","L.","Arum","maculatum","","","","","L.","","","","","Araceae","","","4354","4354","","M","DUKE","25-FEB-00","15-JUL-05"
"2296","Caladium bulbosum","","Caladium","bulbosum","","","","","","","","","","Araceae","","","","","","M","DUKE","25-FEB-00","15-JUL-05"
"2297","Conium chaerophylloides","(THUNB.) SOND.","Conium","chaerophylloides","","","","","(THUNB.) SOND.","","","","","Apiaceae","Synonyms: Seseli chaerophylloides Thunb.","","404343","404343","","M","DUKE","25-FEB-00","15-JUL-05"
"2298","Coccinia grandis","(L.) J. VOIGT","Coccinia","grandis","","","","","(L.) J. VOIGT","","","","","Cucurbitaceae","Synonyms: Coccinia cordifolia & Coccinia indica","","10974","10974","","M","DUKE","05-MAR-00","15-JUL-05"
"2299","Crataegus sp.","","Crataegus","sp.","","","","","","","","","","Rosaceae","Synonyms: Crataegus tomentosa L.","","300154","300154","","M","DUKE","08-MAR-00","15-JUL-05"
"2300","Magnolia obovata","THUNB.","Magnolia","obovata","","","","","THUNB.","","","","","Magnoliaceae","Synonyms: Magnolia hypoleuca Siebold & Zucc.","","23123","23123","","M","DUKE","14-MAR-00","15-JUL-05"
"2301","Cinchona calisaya","WEDD.","Cinchona","calisaya","","","","","WEDD.","","","","","Rubiaceae","Synonyms: Cinchona ledgeriana","","10557","10557","","M","DUKE","25-MAR-00","15-JUL-05"
"2302","Cinchona officinalis","L.","Cinchona","officinalis","","","","","L.","","","","","Rubiaceae","","","10567","10567","","M","DUKE","25-MAR-00","15-JUL-05"
"2303","Cinchona pubescens","VAHL","Cinchona","pubescens","","","","","VAHL","","","","","Rubiaceae","Synonyms: Cinchona succirubra","","10570","10570","","M","DUKE","25-MAR-00","15-JUL-05"
"2304","Cinchona succirubra","PAV. EX KLOTZSCH","Cinchona","succirubra","","","","","PAV. EX KLOTZSCH","","","","","Rubiaceae","Synonym of Cinchona pubescens","","","","","M","DUKE","25-MAR-00","15-JUL-05"
"2305","Corylus americana","MARSHALL","Corylus","americana","","","","","MARSHALL","","","","","Betulaceae","","","104856","104856","","F","DUKE","30-MAR-00","15-JUL-05"
"2306","Vigna unguiculata subsp. unguiculata","","Vigna","unguiculata","unguiculata","","","","(L.) WALP.","","","","","Fabaceae","","","300675","300675","","F","DUKE","04-APR-00","15-JUL-05"
"2307","Juncus roemerianus","","Juncus","roemerianus","","","","","","","","","","Juncaceae","","","417526","417526","","","DUKE","24-APR-00","15-JUL-05"
"2308","Aglaia elaeagnoidea","","Aglaia","elaeagnoidea","","","","","","","","","","Meliaceae","","","431026","431026","","M","DUKE","08-MAY-00","15-JUL-05"
"2309","Aglaia edulis","(ROXB.) A. GRAY","Aglaia","edulis","","","","","(ROXB.) A. GRAY","","","","","Meliaceae","Synonyms: Milnea edulis Roxb.","","1764","1764","","M","DUKE","08-MAY-00","15-JUL-05"
"2310","Aglaia odorata","LOUR.","Aglaia","odorata","","","","","LOUR.","","","","","Meliaceae","","","1765","1765","","M","DUKE","08-MAY-00","15-JUL-05"
"2312","Pistacia major","","Pistacia","major","","","","","","","","","","Anacardiaceae","","","","","","M","DUKE","16-MAY-00","15-JUL-05"
"2313","Aucuba japonica","THUNB.","Aucuba","japonica","","","","","THUNB.","","","","","Cornaceae","","","6077","6077","","M","DUKE","16-MAY-00","15-JUL-05"
"2314","Pedicularis palustris","L.","Pedicularis","palustris","","","","","L.","","","","","Scrophulariaceae","","","27084","27084","","M","DUKE","16-MAY-00","15-JUL-05"
"2315","Melampyrum arvense","L.","Melampyrum","arvense","","","","","L.","","","","","Scrophulariaceae","","","23910","23910","","M","DUKE","16-MAY-00","15-JUL-05"
"2316","Hippuris vulgare","","Hippuris","vulgare","","","","","","","","","","Hippuridaceae","","","","","","M","DUKE","16-MAY-00","15-JUL-05"
"2317","Callitriche stagnalis","","Callitriche","stagnalis","","","","","","","","","","Callitrichaceae","","","","","","M","DUKE","16-MAY-00","15-JUL-05"
"2318","Scrophularia umbrosa","DUMORT.","Scrophularia","umbrosa","","","","","DUMORT.","","","","","Scrophulariaceae","","","413428","413428","","M","DUKE","16-MAY-00","15-JUL-05"
"2319","Berberis repens","LINDL.","Berberis","repens","","","","","LINDL.","","","","","Berberidaceae","Synonym for Mahonia repens (Lindl.) G. Don","","","","","M","DUKE","25-MAY-00","15-JUL-05"
"2320","Mahonia repens","(LINDL.) G. DON","Mahonia","repens","","","","","(LINDL.) G. DON","","","","","Berberidaceae","Syn:Berberis repens,B.sonnei,M.repens v.rotundifol.,M.sonnei","","23172","23172","","M","DUKE","25-MAY-00","15-JUL-05"
"2321","Berberis aquifolium","PURSH","Berberis","aquifolium","","","","","PURSH","","","","","Berberidaceae","Synonym of Mahonia aquifolium (Pursh) Nutt.","","","","","M","DUKE","26-MAY-00","15-JUL-05"
"2322","Aglaia leptantha","","Aglaia","leptantha","","","","","","","","","","Meliaceae","","","","","","M","DUKE","08-JUN-00","15-JUL-05"
"2323","Selaginella delicatula","","Selaginella","delicatula","","","","","","","","","","Selaginellaceae","","","","","","M","DUKE","08-JUN-00","15-JUL-05"
"2324","Eremurus chinensis","O. FEDTSCH.","Eremurus","chinensis","","","","","O. FEDTSCH.","","","","","Liliaceae","","","15386","15386","","M","DUKE","08-JUN-00","15-JUL-05"
"2325","Casearia arborea","","Casearia","arborea","","","","","","","","","","Flacourtiaceae","","","","","","M","DUKE","08-JUN-00","15-JUL-05"
"2326","Thonningia sanguinea","VAHL","Thonningia","sanguinea","","","","","VAHL","","","","","Balanophoraceae","","","429607","429607","","M","DUKE","08-JUN-00","15-JUL-05"
"2327","Sophora flavescens","AITON","Sophora","flavescens","","","","","AITON","","","","","Fabaceae","Synonyms: S. angustifolia , S. flavescens var. angustifolia","","34953","34953","","M","DUKE","08-JUN-00","15-JUL-05"
"2328","Acacia confusa","MERR.","Acacia","confusa","","","","","MERR.","","","","","Fabaceae","Synonyms: Racosperma confusum","","810","810","","M","DUKE","08-JUN-00","15-JUL-05"
"2329","Tagetes florida","","Tagetes","florida","","","","","","","","","","Asteraceae","","","","","","M","DUKE","08-JUN-00","15-JUL-05"
"2331","Tagetes sp.","","Tagetes","sp.","","","","","","","","","","Asteraceae","","","300597","300597","","M","DUKE","08-JUN-00","15-JUL-05"
"2332","Myrrhis odorata","(L.) SCOP.","Myrrhis","odorata","","","","","(L.) SCOP.","","","","","Apiaceae","","","102117","102117","","M","DUKE","12-JUN-00","15-JUL-05"
"2333","Cryptotaenia japonica","HASSK.","Cryptotaenia","japonica","","","","","HASSK.","","","","","Apiaceae","","","12535","12535","","M","DUKE","20-JUN-00","15-JUL-05"
"2334","Trilisa odoratissima","(WALTER EX J. F. GMEL.) CASS.","Trilisa","odoratissima","","","","","(WALTER EX J. F. GMEL.) CASS.","","","","","Asteraceae","Synonyms: Carphephorus odoratissimus","","400351","400351","","M","DUKE","20-JUN-00","15-JUL-05"
"2335","Scrophularia scorodonia","L.","Scrophularia","scorodonia","","","","","L.","","","","","Scrophulariaceae","","","","","","M","DUKE","26-JUN-00","15-JUL-05"
