PLNA,PLCO,AUTHOR,VALID,PLCOS
"NONSEEDBEARING","000000000","FAMILY NAME","","0"
"EQUISETUM SP.","000001000","","S","1000"
"EQUISETUM ARVENSE","000001001","","","1001"
"EQUISETUM GIGANTEUM","000001002","L.","N","1002"
"MARSILEA SP.","000002000","","Y","2000"
"MARSILEA CRENATA","000002001","","","2001"
"MARSILEA POLYCARPA","000002002","HOOK. & GREV.","Y","2002"
"HELMINTHOSTACHYS ZEYLANICA","000003001","","","3001"
"ADIANTUM SP.","000004000","U","S","4000"
"ADIANTUM SP.","000004000","","N","4000"
"ADIANTUM TENERUM","000004001","L.","N","4001"
"ADIANTUM MELANOLEUCUM","000004002","WILLD.","N","4002"
"ADIANTUM PETIOLATUM","000004003","DESV.","N","4003"
"ADIANTUM CAPILLUS-VENERIS","000004004","L.","N","4004"
"ADIANTUM PULVERULENTUM","000004005","L.","N","4005"
"ADIANTUM CRISTATUM","000004006","L.","Y","4006"
"ADIANTUM TRAPEZIFORMIS","000004007","","P","4007"
"ADIANTUM LANCEA","000004008","U","S","4008"
"ADIANTUM SINUOSUM","000004010","U","S","4010"
"ADIANTUM CAUDATUM","000004011","U","S","4011"
"ADIANTUM LUNULATUM","000004012","U","S","4012"
"ADIANTUM PLATYPHYLLUM","000004013","U","S","4013"
"ADIANTUM SERRATODENTATUM","000004014","U","S","4014"
"ADIANTUM SUBCORDATUM","000004015","U","S","4015"
"CYATHEA SP.","000005000","","","5000"
"CYATHEA ARBOREA","000005001","(L.) J. E. SM.","N","5001"
"CYATHEA BRITTONIANA","000005002","MAXON","L","5002"
"CYATHEA SCHANSCHIN","000005003","U","S","5003"
"CYATHEA VESTITA","000005004","U","S","5004"
"CYCLOPELTIS SEMICORDATA","000006001","(SW.) J. SM.","N","6001"
"HEMITELIA HORRIDA","000007001","(L.) J. E. SM.","N","7001"
"PTERIS SP.","000008000","","","8000"
"PTERIS LONGIFOLIA","000008001","L.","N","8001"
"PTERIS GRANDIFOLIA","000008002","L.","N","8002"
"PTERIS ALTISSIMA","000008003","","P","8003"
"PTERIS TRIPARTITA","000008004","","P","8004"
"PTERIS ACULEATA","000008005","U","S","8005"
"PTERIS AQUILINA","000008006","U","S","8006"
"PTERIS DENTICULATA","000008007","U","S","8007"
"PTERIS LOMARIACEA","000008008","U","S","8008"
"PTERIS QUADRIAURITA","000008009","U","S","8009"
"ACROSTICHUM AUREUM","000009001","L.","N","9001"
"ACROSTICHUM CONFORME","000009002","U","S","9002"
"ACROSTICHUM SCOLOPENDRIFOLIUM","000009003","U","S","9003"
"ACROSTICHUM VISCOSUM","000009004","U","S","9004"
"PTERIDIUM CAUDATUM","000010001","(L.) MAXON","N","10001"
"PTERIDIUM AQUILINUM","000010002","(L.)KUHN","","10002"
"NEPHROLEPSIS EXALTATA","000011001","(L.) SCHOTT","N","11001"
"NEPHROLEPIS RIVULARIS","000011002","(VAHL)METT.","L","11002"
"NEPHROLEPIS PECTINATA","000011003","","P","11003"
"LYGODIUM VENUSTUM","000012001","SW.","N","12001"
"LYGOPODIUM POLYMORPHUM","000012002","","P","12002"
"LYGODIUM VOLUBILE","000012003","U","S","12003"
"PITYROGRAMMA CALOMELANOS","000013001","(L.) LINK","N","13001"
"LYCOPODIUM SP.","000014000","","","14000"
"LYCOPODIUM CERNUUM","000014001","L.","N","14001"
"LYCOPODIUM CLAVATUM","000014002","L.","N","14002"
"LYCOPODIUM COMPLANATUM","000014003","L.","N","14003"
"LYCOPODIUM CERNUUM","000014004","L.","L","14004"
"LYCOPODIUM DICHOTOMUM","000014005","JACQ.","L","14005"
"LYCOPODIUM MAGELLANICUM","000014006","SW.","A","14006"
"LYCOPODIUM SAURURUS","000014007","LAM.","A","14007"
"LYCOPODIUM VARIUM","000014008","R.BR.","A","14008"
"LYCOPODIUM ALOPECUROIDES","000014009","U","S","14009"
"LYCOPODIUM REFLEXUM","000014010","U","S","14010"
"LYCOPODIUM TRICHIATUM","000014011","U","S","14011"
"PELLAEA TERNIFOLIA","000015001","(CAV.) LINK","N","15001"
"BOTRYCHIUM JENMANI","000016001","UNDERW.","N","16001"
"OPHIOGLOSSUM RETICULATUM","000017001","L.","N","17001"
"OPHIOGLOSSUM CROTALOPHOROIDES","000017002","WALT.","A","17002"
"POLYPODIUM","000018000","","","18000"
"POLYPODIUM THYSSALONEPIS","000018001","","N","18001"
"POLYPODIUM POLYPODIOIDES","000018002","(L.) WATT.","Y","18002"
"POLYPODIUM LYCOPODIOIDES","000018003","L.","Y","18003"
"POLYPODIUM CRASSIFOLIUM","000018004","L.","Y","18004"
"POLYPODIUM AUREUM","000018005","L.","Y","18005"
"POLYPODIUM PILOSELLOIDES","000018006","L.","Y","18006"
"POLYPODIUM PLUMULA","000018007","H.B.WILLD.","Y","18007"
"POLYPODIUM MAGELLANICUM","000018008","(DESV.)COPEL.","A","18008"
"POLYPODIUM VULGARE","000018009","L.","A","18009"
"POLYPODIUM ANGUSTIFOLIUM","000018010","U","S","18010"
"POLYPODIUM ANGUSTUM","000018011","U","S","18011"
"POLYPODIUM CATHARINAE","000018012","U","S","18012"
"POLYPODIUM DECURRENS","000018013","U","S","18013"
"POLYPODIUM ELASTICUM","000018014","U","S","18014"
"POLYPODIUM FRAXINIFOLIUM","000018015","U","S","18015"
"POLYPODIUM INCANUM","000018016","U","S","18016"
"POLYPODIUM LINDBERGII","000018017","U","S","18017"
"POLYPODIUM PECTINATUM","000018018","U","S","18018"
"POLYPODIUM PENDULUM","000018019","U","S","18019"
"POLYPODIUM PHYLLITIDIS","000018020","U","S","18020"
"ANEIMIA ADIANTIFOLIA","000019001","(L.) SW.","N","19001"
"ANEIMIA PHYLLITIDIS","000019002","(L.) SW.","N","19002"
"ANEIMIA HIRSUTA","000019003","","P","19003"
"ANEIMIA LANGSDORFFIANA","000019004","U","S","19004"
"ANEIMIA MANDIOCCANA","000019005","U","S","19005"
"ANEIMIA OBLONGIFOLIA","000019006","U","S","19006"
"ANEIMIA TOMENTOSA","000019007","U","S","19007"
"BLECHNUM SP.","000020000","","","20000"
"BLECHNUM OCCIDENTALE","000020001","L.","N","20001"
"BLECHNUM PENNA-MARINA","000020002","(POIR.)KUHN.","A","20002"
"BLECHNUM CAPENSE","000020003","","","20003"
"BLECHNUM ASPLENIOIDES","000020004","U","S","20004"
"BLECHNUM BRASILIENSE","000020005","U","S","20005"
"BLECHNUM LANCEOLA","000020006","U","S","20006"
"BLECHNUM LONGIFOLIUM","000020007","U","S","20007"
"BLECHNUM SERRULATUM","000020008","U","S","20008"
"BLECHNUM UNILATERALE","000020009","U","S","20009"
"BLECHNUM ACCIDENTALE","000020010","U","S","20010"
"DORYOPTERIS PEDATA","000021001","(L.) FEE","N","21001"
"GRAMMITIS SP.","000022000","","","22000"
"GRAMMITIS SEMIHIRSUTA","000022001","","N","22001"
"GRAMMITIS ARMSTRONGII","000022002","TINDALE","A","22002"
"GRAMMITIS KERGUELENSIS","000022003","TARD.","A","22003"
"GRAMMITIS MONILIFORMIS","000022004","","","22004"
"TECTARIA INCISA","000023001","","N","23001"
"THELYPTERIS SP.","000024000","","Y","24000"
"THELYPTERIS NORMALIS","000024001","","N","24001"
"THELYPTERIS RETICULATA","000024002","(L.)PROCT.","L","24002"
"THELYPTERIS NICARAGUENSIS","000024003","","P","24003"
"THELYPTERIS POITEANA","000024004","","P","24004"
"THELYPTERIS TETRAGONA","000024005","","P","24005"
"THELYPTERIS TORRESIANA","000024006","","P","24006"
"DRYOPTERIS SP.","000025000","","N","25000"
"MENISCIUM RETICULATUM","000026001","(L.) SW.","Y","26001"
"DICRANOPTERIS FLEXUOSUS","000027001","(SCHRAD.)UNDERW.","Y","27001"
"ODONTOSORIA ACULEATA","000028001","(L.)J.SM.","Y","28001"
"AZOLLA SP.","000029000","","Y","29000"
"AZOLLA AFRICANA","000029001","","","29001"
"CHEILANTHES MICROPHYLLA","000030001","SW.","Y","30001"
"CHEILANTHES CHLOROPHYLLA","000030002","U","S","30002"
"CHEILANTHES RADIATA","000030003","U","S","30003"
"GLEICHENIA SP.","000031000","","","31000"
"GLEICHENIA BIFIDA","000031001","(WILLD.)SPRENG.","Y","31001"
"GLEICHENIA LINEARIS","000031002","(BURM.)CLARKE","Y","31002"
"GLEICHENIA FLEXUOSA","000031003","(SCHRAD.)METT.","L","31003"
"GLEICHENIA DICHOTOMA","000031004","U","S","31004"
"GLEICHENIA PUBESCENS","000031005","U","S","31005"
"CTENITIS HEMSLEYANA","000032001","(BAK.EX.HEMSL.)COPEL.","","32001"
"GYMNOGRAMMA FLEXUOSA","000033001","(H.B.)DESV.BERL.","","33001"
"GYMNOGRAMMA WARSCEWICZII","000033002","METT.","","33002"
"GYMNOGRAMMA CALOMELANOS","000033003","U","S","33003"
"GYMNOGRAMMA DIPLAZOIDES","000033004","U","S","33004"
"GYMNOGRAMMA RUFA","000033005","U","S","33005"
"GYMNOGRAMMA TRIFOLIOLATA","000033006","U","S","33006"
"HISTIOPTERIS INCISA","000034001","(THBG.)J.SM.","","34001"
"LOXSOMOPSIS COSTARICENSIS","000035001","CHRIST.","","35001"
"RUMOHRA DENTICULATA","000036001","(SWARTZ)COPEL.","","36001"
"ALSOPHILA QUADRIPINNATA","000037001","(GMEL.)C.CHR.IND.","","37001"
"ALSOPHILA PALEOLATA","000037002","U","S","37002"
"ALSOPHILA VILLOSA","000037003","U","S","37003"
"CNEMIDIA HORRIDA","000038001","(L.)PRESL.","L","38001"
"HEMIONOTIS PALMATA","000039001","L.","L","39001"
"CNEMIDARIA HORRIDA","000040001","(L.)PRESL.","L","40001"
"ASPLENIUM SP.","000041000","","P","41000"
"ASPLENIUM OBTUSATUM","000041001","FORST.","A","41001"
"PHLEBODIUM DECUMANUM","000041001","","P","41001"
"ASPLENIUM ABSCISSUM","000041002","U","S","41002"
"ASPLENIUM AURITUM","000041003","U","S","41003"
"ASPLENIUM CICUTARIUM","000041004","U","S","41004"
"ASPLENIUM EURITUM","000041005","U","S","41005"
"ASPLENIUM FORMOSUM","000041006","U","S","41006"
"ASPLENIUM LUNULATUM","000041007","U","S","41007"
"ASPLENIUM MARGINATUM","000041008","U","S","41008"
"ASPLENIUM MUCRONATUM","000041009","U","S","41009"
"ASPLENIUM OBTUSIFOLIUM","000041010","U","S","41010"
"ASPLENIUM PLANTAGINEUM","000041011","U","S","41011"
"ASPLENIUM PUMILUM","000041012","U","S","41012"
"ASPLENIUM RADICANS","000041013","U","S","41013"
"ASPLENIUM RHIZOPHORUM","000041014","U","S","41014"
"ASPLENIUM RIEDELIANUM","000041015","U","S","41015"
"ASPLENIUM SHEPHERDII","000041016","U","S","41016"
"SALVINIA AURICULATA","000042001","","P","42001"
"SELAGINELLA SILVESTRIS","000043001","","P","43001"
"SELAGINELLA ERYTHROPUS","000043002","U","S","43002"
"SELAGINELLA FLEXUOSA","000043003","U","S","43003"
"NECKERA CRISPA","000044001","","W","44001"
"CYSTOPTERIS FRAGILIS","000045001","(L.)BERNH.","A","45001"
"ELAPHOGLOSSUM SP.","000046000","","","46000"
"ELAPHOGLOSSUM RANDII","000046001","ALSTON&SCHELPE","A","46001"
"HYMENOPHYLLUM FALKLANDICUM","000047001","BAKER","A","47001"
"HYMENOPHYLLUM PELTATUM","000047002","(POIR.)DESV.","A","47002"
"HYMENOPHYLLUM LINEARE","000047003","U","S","47003"
"HYMENOPHYLLUM POLYANTHOS","000047004","U","S","47004"
"POLYSTICHUM MARIONENSE","000048001","ALSTON&SCHELPE","A","48001"
"POLYSTICHUM MOHRIOIDES","000048002","(BORY)PR.","A","48002"
"POLYSTICHUM VESTITUM","000048003","FORST.FIL.","A","48003"
"ANTROPHYTUM LINEATUM","000049001","U","S","49001"
"ASPIDIUM ACULEATUM","000050001","U","S","50001"
"ASPIDIUM CICUTARIUM","000050002","U","S","50002"
"ASPIDIUM CONTORMINUM","000050003","U","S","50003"
"ASPIDIUM EFFUSUM","000050004","U","S","50004"
"ASPIDIUM MACROPHYLLUM","000050005","U","S","50005"
"ASPIDIUM MOLLE","000050006","U","S","50006"
"DICKSONIA CICUTARIA","000051001","U","S","51001"
"DIDYMOCHLAENA LUNULATA","000052001","U","S","52001"
"LINDSAYA STRICTA","000052001","U","S","52001"
"LINDSAYA TRAPEZIFORMIS","000052002","U","S","52002"
"LOMARIA ATTENUATA","000053001","U","S","53001"
"LOMARIA CAPENSIS","000053002","U","S","53002"
"LOMARIA SABULARIS","000053003","U","S","53003"
"TRICHOMANES KRAUSII","000054002","U","S","54002"
"TRICHOMANES PINNATUM","000054003","U","S","54003"
"TRICHOMANES RADICANS","000054004","U","S","54004"
"TRICHOMANES RIGIDUM","000054005","U","S","54005"
"TRICHOMANES CRISPUM","000054006","U","S","54006"
"NEPHRODIUM CONTERMINUM","000055001","U","S","55001"
"NEPHRODIUM EFFUSUM","000055002","U","S","55002"
"NEPHRODIUM FASCICULATUM","000055003","U","S","55003"
"NEPHRODIUM MACROPHYLLUM","000055004","U","S","55004"
"NEPHRODIUM MOLLE","000055005","U","S","55005"
"NEPHRODIUM PATENS","000055006","U","S","55006"
"NEPHRODIUM TETRAGONUM","000055007","U","S","55007"
"NEPHRODIUM TRICHOPHORUM","000055008","U","S","55008"
"NEPHROLEPIS CORDIFOLIA","000056004","U","S","56004"
"DANAEA NODOSA","000057001","U","S","57001"
"OSMUNDA REGALIS","000058001","U","S","58001"
"SPHAGNUM SP.","000097000","","","97000"
"USNEA SP.","000098000","","","98000"
"STEREOCLAVON SP.","000099000","","","99000"
"ISOETES SP.","000100000","","","100000"
"TRICHOMANES FUCOIDES","000101001","","","101001"
"CYCAS CIRCINNALIS","001001001","L.","Y","1001001"
"CYCAS REVOLUTA","001001002","","P","1001002"
"ZAMIA SP.","001007000","","P","1007000"
"ZAMIA DEBILIS","001007001","L. F.","N","1007001"
"ZAMIA FURFURACEA","001007002","","P","1007002"
"ZAMIA TUERCKHEIMII","001007003","","P","1007003"
"ZAMIA SKINNERI","001007004","WARSCZ.","H","1007004"
"GINKGO BILOBA","004001001","","","4001001"
"TAXACEAE","008000000","","","8000000"
"PODOCARPUS SP.","008003000","","P","8003000"
"PODOCARPUS OLEIFOLIA","008003001","D.DON","","8003001"
"PODOCARPUS STANDLEYI","008003002","BUCHHOLZ&N.E.GRAY","","8003002"
"PODOCARPUS HENKELLII","008003003","","P","8003003"
"PODOCARPUS ALLENII","008003004","STANDL.","H","8003004"
"DACRYDIUM FRANKLINII","008004001","","","8004001"
"TORREYA NUCIFERA","008007001","","","8007001"
"TAXODIUM MUCRONATUM","008010001","","P","8010001"
"PINACEAE","011000000","","","11000000"
"AGATHIS AUSTRALIS","011001001","","","11001001"
"AGATHIS DAMMARA","011001002","","","11001002"
"AGATHIS PALMERSTONII","011001003","","","11001003"
"AGATHIS VITIENSIS","011001004","","","11001004"
"AGATHIS ROBUSTA","011001005","","","11001005"
"ARAUCARIA SP.","011002000","","P","11002000"
"ARAUCARIA HETEROPHYLLA","011002001","(SALISB.)FRANCO","Y","11002001"
"ARAUCARIA CUNNINGHAMII","011002002","","P","11002002"
"ARAUCARIA EXCELSA","011002003","","P","11002003"
"ARAUCARIA ANGUSTIFOLIA","011002004","","","11002004"
"ARAUCARIA BIDWILLII","011002005","","","11002005"
"ARAUCARIA COLUMNARIS","011002006","","","11002006"
"PINUS SP.","011003000","","P","11003000"
"PINUS EDULIS","011003001","","","11003001"
"PINUS QUADRIFOLIA","011003002","","","11003002"
"PINUS ELLIOTTII","011003003","","","11003003"
"PINUS TAEDA","011003004","","","11003004"
"PINUS CEMBROIDES","011003005","","","11003005"
"PINUS PINEA","011003006","","","11003006"
"PINUS OCCIDENTALIS","011003007","SW.","N","11003007"
"PINUS CARIBAEA","011003008","MORELET","Y","11003008"
"PINUS HALAPENSIS","011003009","MILL.","","11003009"
"PINUS OOCARPA","011003010","","P","11003010"
"PINUS ECHINATA","011003011","","","11003011"
"PINUS SYLVESTRIS","011003012","","","11003012"
"CEDRUS SP.","011004000","","","11004000"
"CEDRUS ATLANTICA","011004001","","","11004001"
"CEDRUS BREVIFOLIA","011004002","","","11004002"
"LARIX SP","011005000","","","11005000"
"LARIX EUROPAEA","011005001","DC.","","11005001"
"PICEA ABIES","011007001","DEGEN.","","11007001"
"ABIES SP.","011010000","","","11010000"
"ABIES PECTINATA","011010001","DC.","","11010001"
"ABIES ALBA","011010002","","","11010002"
"ABIES BALSAMEA","011010003","","","11010003"
"ABIES CONCOLOR","011010004","","","11010004"
"ABIES GRANDIS","011010005","","","11010005"
"ABIES LASIOCARPA","011010006","","","11010006"
"ABIES MAGNIFICA","011010007","","","11010007"
"ABIES PROCERA","011010008","","","11010008"
"ABIES AMABILIS","011010009","","","11010009"
"ABIES CEPHALONICA","011010010","","","11010010"
"ABIES FRASERI","011010011","","","11010011"
"ABIES NORDMANNIANA","011010012","","","11010012"
"ABIES NUMIDICA","011010013","","","11010013"
"ABIES PINDROW","011010014","","","11010014"
"ABIES PINSAPO","011010015","","","11010015"
"ABIES SPECTABILIS","011010016","","","11010016"
"CALLITRIS SP.","011019000","","","11019000"
"CALLITRIS COLUMELLARIS","011019001","","","11019001"
"CALLITRIS PREISSII","011019002","","","11019002"
"CUPRESSUS ARIZONICA","011024001","","P","11024001"
"JUNIPERUS COMMUNIS","011026001","","","11026001"
"JUNIPERUS GRACILIOR","011026002","L.","N","11026002"
"PSEUDOTSUGA MENZIESII","011027001","(MIRBEL)FRANCO","","11027001"
"GNETACEAE","015000000","","","15000000"
"EPHEDRA GERADIANA","015001001","","","15001001"
"EPHEDRA SINICA","015001002","","","15001002"
"EPHEDRA CALIFORNICA","015001003","","","15001003"
"GNETUM GNEMBE","015002001","","","15002001"
"GNETUM AFRICANUM","015002002","","","15002002"
"GNETUM BUCHHOLZIANUM","015002003","","","15002003"
"TYPHACEAE","017000000","","","17000000"
"TYPHA ORIENTALIS","017001001","","","17001001"
"TYPHA DOMINGENSIS","017001002","PERS.","N","17001002"
"TYPHA ANGUSTIFOLIA","017001003","L.","Y","17001003"
"PANDANACEAE","018000000","","","18000000"
"PANDANUS SP.","018002000","","","18002000"
"PANDANUS DUBIUS","018002001","","","18002001"
"PANDANUS ODORATISSIMUS","018002002","","","18002002"
"POTAMOGETONACEAE","022000000","","","22000000"
"POTAMOGETON SP.","022004000","","W","22004000"
"POTAMOGETON DISTINCTUS","022004001","","","22004001"
"POTAMOGETON PECTINATUS","022004002","","","22004002"
"POTAMOGETON PERFOLIATUS","022004003","","","22004003"
"POTAMOGETON POLYGONUS","022004004","CHAM.","S","22004004"
"NAJAS SP.","026001000","","W","26001000"
"ALISMATACEAE","031000000","","","31000000"
"ALISMA CANALICULATUM","031001001","","","31001001"
"ECHINODORUS GRANDIFLORUS","031006001","","","31006001"
"ECHINODORUS BERTEROI","031006002","(SPRENG.) FASSETT","Y","31006002"
"ECHINODORUS TENELLUS","031006003","(MART.)BUCH.","H","31006003"
"ECHINODORUS MURICATUS","031006004","GRISEB.","H","31006004"
"ECHINODORUS ELLIPTICUS","031006006","MICHELI","S","31006006"
"SAGITTARIA MONTEVIDENSIS","031009001","","","31009001"
"SAGITTARIA TRIFOLIA","031009002","","","31009002"
"SAGITTARIA PYGMAEA","031009003","","","31009003"
"SAGITTARIA SAGITTIFOLIA","031009004","","","31009004"
"SAGGITARIA LANCIFOLIA","031009005","L.","N","31009005"
"SAGITTARIA INTERMEDIA","031009006","MICHELI","N","31009006"
"SAGITTARIA LATIFOLIA","031009007","","P","31009007"
"SAGITARIA GUYANENSIS","031009008","(GRISEB.)HBK.","S","31009008"
"SAGITTARIA LAGOENSIS","031009009","SEUB.EX.WARM.","S","31009009"
"LIMNOCHARIS FLAVA","032003001","(L.) BUCH","","32003001"
"ELODEA DENSA","034003001","CASP.","S","34003001"
"ELODEA GUIANENSIS","034003002","RICH.","S","34003002"
"VALLISNERIA SPIRALIS","034005001","L.","Y","34005001"
"CHRYSOPOGON NUTANS","036367006","(A.GRAY)BENTH.","S","36367006"
"POACEAE","038000000","","","38000000"
"ZEA MAYS SUBSP MAYS","038002001","L.","","38002001"
"ZEA MAYS SUBSP MEXICANA","038002002","","","38002002"
"ZEA MAYS","038002003","L.","Y","38002003"
"TRIPSACUM DACTYLOIDES","038003001","(L.) L.","N","38003001"
"TRIPSACUM LATIFOLIUM","038003002","HITCHC.","N","38003002"
"TRIPSACUM LAXUM","038003003","NASH","Y","38003003"
"TRIPSACUM LANCEOLATUM","038003004","RUBR.EX.FOURN.","H","38003004"
"TRIPSACUM FASCICULATUM","038003005","","B","38003005"
"COIX LACRYMA-JOBI","038007001","","","38007001"
"IMPERATA ARUNDINACEA","038009001","","","38009001"
"IMPERATA CYLINDRICA","038009002","","","38009002"
"IMPERATA BRASILENSIS","038009003","","","38009003"
"IMPERATA CONTRATA","038009004","","P","38009004"
"SACCHARUM OFFICINARUM","038011001","L.","","38011001"
"SACCHARUM SPONTANEUM","038011002","","","38011002"
"SACCHARUM SINENSE","038011003","","","38011003"
"SACCHARUM ERIOOCHRYSIS","038011004","U","S","38011004"
"SACCHARUM HOLCOIDES","038011005","HACK.","S","38011005"
"SACCHARUM WARMINGIANUM","038011006","HACK.","S","38011006"
"SACCHARUM CAYENNENSIS","038011007","BENTH.","S","38011007"
"ERIANTHUS LONGESETOSUS","038012001","","","38012001"
"MICROSTEGIUM CILIATUM","038013001","","","38013001"
"SPODIOPOGON BYRONIS","038015001","","","38015001"
"POLYTRIAS PRAEMORSA","038016001","(NEES)HACK.","H","38016001"
"POGONATHERUM CRINITUM","038017001","","","38017001"
"APLUDA MUTICA","038018001","L.","Y","38018001"
"DIECTOMIS FASTIGIATA","038018001","","P","38018001"
"ISCHAEMUM SP.","038019000","","Y","38019000"
"ISCHAEMUM CYLINDRICA","038019001","","","38019001"
"ISCHAEMUM ARISTATUM","038019002","","","38019002"
"ISCHAEMUM MUTICUM","038019003","","","38019003"
"ISCHAEMUM PILOSUM","038019004","","","38019004"
"ISCHAEMUM RUGOSUM","038019005","SALISB.","Y","38019005"
"ISCHAEMUM CILIARE","038019006","RETZ.","H","38019006"
"ISCHAEMUM INDICUM","038019007","","","38019007"
"LOPHOPOGON TRIDENTATUS","038020001","","","38020001"
"EREMOCHLOA OPHIUROIDES","038022001","","","38022001"
"THELEPOGON ELEGANS","038023001","ROTH EX.R.&S.","Y","38023001"
"ROTTBOELLIA EXALTATA","038027001","(L.) L. F.","","38027001"
"ROTTBOELLIA AURITA","038027002","STEUD.","S","38027002"
"ROTTBOELLIA LORICATA","038027003","TRIN.","S","38027003"
"MANISURIS GRANNULARIS","038028001","","","38028001"
"MANISURIS AURITA","038028002","(STEUD.)KUNTZE","H","38028002"
"MANISURIS RAMOSA","038028003","HITCHC.","H","38028003"
"OPHIUROS EXALTATUS","038029001","","","38029001"
"TRACHYPOGON SECUNDUS","038031001","(PRESL)SCRIBN.","H","38031001"
"TRACHYPOGON POLYMORPHUS","038031002","HACK.","S","38031002"
"ELIONURUS LATIFLORUS","038032001","NEES,EX.STEUD.","S","38032001"
"ARTHRAXON HISPIDUS","038033001","MAKINO","Y","38033001"
"ANDROPOGON GAYANUS","038034001","","","38034001"
"ANDROPOGON GERARDII","038034002","","","38034002"
"ANDROPOGON HALLII","038034003","","","38034003"
"ANDROPOGON BREVIFOLIUS","038034004","SW.","Y","38034004"
"ANDROPOGON VIRGINICUS","038034005","L.","","38034005"
"ANDROPOGON LATERALIS","038034006","","","38034006"
"ANDROPOGON BICORNIS","038034007","L.","","38034007"
"ANDROPOGON PUMILUS","038034007","ROXB.","Y","38034007"
"ANDROPOGON LEUCOSTACHYUS","038034008","H.B.&K.","L","38034008"
"ANDROPOGON ANNULATUS","038034009","FORSK.","L","38034009"
"ANDROPOGON PERTUSUS","038034010","(L.)WILLD.","L","38034010"
"ANDROPOGON GLOMERATUS","038034011","","P","38034011"
"ANDROPOGON CONDENSATUS","038034012","H.B.K.","H","38034012"
"ANDROPOGON SEMIBERBIS","038034013","(NEES)KUNTH","H","38034013"
"ANDROPOGON ANGUSTATUS","038034014","(PRESL)STEUD.","H","38034014"
"ANDROPOGON CONDYLOTRICHUS","038034015","HOCHST.EX.STEUD.","H","38034015"
"ANDROPOGON SACCHAROIDES","038034016","SWARTZ","H","38034016"
"ANDROPOGON CARINATUS","038034017","U","S","38034017"
"ANDROPOGON HIRTIFLORUS","038034018","KUNTH","S","38034018"
"ANDROPOGON HYPOGYNUS","038034019","HACK.","S","38034019"
"ANDROPOGON MYOSURUS","038034020","J.PRESL","S","38034020"
"ANDROPOGON RIEDELII","038034021","TRIN.","S","38034021"
"ANDROPOGON RUFUS","038034022","KUNTH","S","38034022"
"ANDROPOGON SPATHIFLORUS","038034023","KUNTH","S","38034023"
"ANDROPOGON TENER","038034024","KUNTH","S","38034024"
"ANDROPOGON NEESI","038034025","KUNTH","S","38034025"
"THEMEDA AUSTRALIS","038036001","","","38036001"
"THEMEDA QUADRIVALVIS","038036002","(L.) KTZE","","38036002"
"THEMEDA ARGUENS","038036003","(L.)HACK.","Y","38036003"
"THEMEDA ANATHERA","038036004","(NEES EX.STEUD.)HACK.","Y","38036004"
"THEMEDA ARUNDINACEA","038036005","(ROXB.)RIDLEY","Y","38036005"
"THEMEDA CYMBARIA","038036006","HACK.","Y","38036006"
"THEMEDA TRIANDRA","038036007","FORSK.","Y","38036007"
"THEMEDA TREMULA","038036008","(NEES EX.STEUD.)HACK.","Y","38036008"
"ISEILEMA VAGINIFLORUM","038037001","","","38037001"
"ISEILEMA ONTHEPHOROIDES","038037002","","","38037002"
"ISEILEMA LAXUM","038037003","","","38037003"
"ISEILEMA PROSTRATUM","038037004","","","38037004"
"ANTHEPHORA HERMAPHRODITA","038040001","","P","38040001"
"HILARIA BELANGERI","038041001","","","38041001"
"HILARIA JAMESII","038041002","","","38041002"
"HILARIA MUTICA","038041003","","","38041003"
"AEGOPOGON CENCHROIDES","038042001","HUMB.&BONPL.EX.WILLD.","H","38042001"
"TRAGUS BERTERONIANUS","038043001","SCHULT.","N","38043001"
"PEROTIS SP.","038048000","","","38048000"
"ZOYSIA JAPONICA","038050001","","","38050001"
"ZOYSIA MATRELLA","038050002","","","38050002"
"ZOYSIA TENUIFOLIA","038050003","WILLD.","Y","38050003"
"ARUNDINELLA CONFINIS","038053001","(SCHULTES)H.&C.","L","38053001"
"ARUNDINELLA DEPPEANA","038053002","NEES","H","38053002"
"ARUNDINELLA BRASILIENSIS","038053003","RADDI","S","38053003"
"ARUNDINELLA MARTINICENSIS","038053004","TRIN.","S","38053004"
"MELINIS MINUTIFLORA","038054001","BEAUV.","","38054001"
"ARTHROPOGON VILLOSUS","038057001","NEES","S","38057001"
"THYSANOLAENA MAXIMA","038058001","(ROXB.)KUNTZE","Y","38058001"
"PASPALUM SP.","038061000","","","38061000"
"PASPALUM DILATATUM","038061001","","","38061001"
"PASPALUM NOTATUM","038061002","","","38061002"
"PASPALUM SCROBICULATUM","038061003","","","38061003"
"PASPALUM URVILLEI","038061004","","","38061004"
"PASPALUM CONJUGATUM","038061005","BERG.","","38061005"
"PASPALUM DISTICHUM","038061006","","","38061006"
"PASPALUM QUADRIFARIUM","038061007","","","38061007"
"PASPALUM VAGINATUM","038061008","SW.","","38061008"
"PASPALUM FIMBRIATUM","038061009","HBK.","","38061009"
"PASPALUM COMMERSONII","038061010","","","38061010"
"PASPALUM LONGIFOLIUM","038061011","","","38061011"
"PASPALUM ORBICULARE","038061012","","","38061012"
"PASPALUM LAEVE","038061013","","","38061013"
"PASPALUM FASCICULATUM","038061014","","","38061014"
"PASPALUM PANICULATUM","038061015","L.","","38061015"
"PASPALUM VIRGATUM","038061016","L.","","38061016"
"PASPALUM DISTACHYON","038061017","POIT.","N","38061017"
