chem_id,part_id,cnt,avg,std
8415,63,411,265387.5912408759,189848.50794421736
15085,63,311,233796.06752411576,112416.16437741433
8415,24,207,83956.38164251207,130925.70453525319
5137,24,206,3856.28640776699,4333.499664278364
15085,24,200,109498.54,74596.61039141391
4210,24,196,56663.760204081635,38616.975611328846
13660,63,193,119103.44041450777,121645.81217028268
14516,24,187,3215.994652406417,3292.2917517408796
10201,24,187,132.97807486631018,252.09678474264058
18076,24,186,770575.7365591398,229985.84923738535
4204,24,184,4575.470652173913,16083.119432174017
8460,24,181,141676.38121546962,105971.710440648
5326,24,180,782881.6777777778,187002.78627465703
11511,63,178,107122.19662921349,116711.99965241722
4210,63,176,47880.11363636364,33247.30044182392
7922,67,169,10296.449704142013,10803.84077821771
13933,63,165,33906.49696969697,48465.47470302323
7922,39,162,11535.030864197532,11368.828708479654
15085,39,162,211845.04938271604,100240.91675723487
13066,24,159,60.69811320754718,74.80402527737311
15670,24,157,5.009299363057323,4.669261199167439
4210,39,156,118851.69230769231,56757.643537057505
7922,52,155,9738.76129032258,13158.201740596754
5137,39,155,18437.18064516129,14635.364563373581
17086,24,155,5.332709677419355,7.812177038252724
4563,24,155,78.01450322580645,517.3353962483998
8415,39,154,56462.11038961039,50183.70295426694
16545,63,147,26058.918367346938,46090.16167828826
14516,39,143,4971.454545454545,5435.1672946341905
3626,67,141,1478.4481560283689,10026.877784990693
8460,63,141,134778.82269503546,126643.66391876852
14922,24,140,17916.507142857143,11302.803503364255
4706,67,139,1728.819784172662,14275.922984230523
5326,39,138,611849.6666666666,125744.8007047615
8460,39,138,161534.92028985507,80865.93357348345
4204,39,136,4784.278676470588,10777.34193396176
18076,63,131,227607.09923664122,260591.94646530796
5326,63,129,523402.2868217054,251622.83991468596
5137,63,129,4146.418604651163,5444.904568746329
16388,24,126,1939.818253968254,10545.31101133475
11021,24,125,3660.552,658.4027151341343
10201,39,125,363.1848,394.5181662851027
18076,39,125,807637.68,200441.69563895027
11457,67,125,645.2008800000007,1964.4471732845413
14098,67,118,632.5028813559329,1261.466961153374
5209,67,116,1455.3606896551735,10838.550594896551
14516,63,116,5353.353448275862,3784.166043174598
10201,63,116,150.79310344827587,215.22472286368014
11854,24,114,2129.7368421052633,2159.556220870112
12607,67,114,299.93719298245605,876.141437420811
4566,67,112,202.22098214285697,493.25646859483
532,67,109,9454.845055045871,69726.78707271296
3664,67,109,277.2232110091742,969.8622872439829
8835,67,105,570.7262857142856,1447.31481159932
4563,39,104,261.2980769230769,229.6239454901331
16909,67,103,403.3143689320388,2412.449715194712
3626,39,96,3458.5458333333336,15402.494707932845
19279,67,93,1224.790752688172,5510.255937232389
15818,67,93,277.92655913978484,939.1883623027571
5137,60,92,7402.804347826087,9130.915445603674
14922,39,91,30344.076923076922,22646.074022718247
14922,63,91,12570.054945054944,11370.936760933855
13066,39,91,97.50076923076922,82.21257536265321
11933,24,90,61.19888888888889,151.6560181202802
10201,60,89,304.0033707865168,688.3304984941299
17086,39,88,8.304659090909091,4.798378265069363
15670,39,87,37.94390804597701,213.33398791219437
3662,67,86,171.71511627906986,356.8344738786351
6223,24,86,12.818953488372093,12.84860774550444
16388,63,85,450.86823529411765,629.9537496023514
4706,39,84,290.93702380952385,677.9699694585082
18251,24,84,30.301547619047614,33.2381863543829
5137,52,84,13589.392857142857,9348.71105199848
11457,39,84,425.6501190476191,950.5697174971463
15670,63,83,3.5242168674698786,2.6092343522144064
14922,60,83,15778.783132530121,13656.830745131218
17086,63,82,6.584146341463413,4.191410191477126
4850,67,81,412.4123456790121,1034.1550542079658
14098,39,81,481.6020987654322,1203.6637425738772
11512,63,81,33215.60493827161,57281.898309308854
13066,63,81,42.88604938271605,33.40670353660695
11854,60,80,2561.545875,1879.3294545214087
16388,39,79,3644.481012658228,5630.412516894207
18251,63,78,45.13205128205128,35.223424219416266
11854,39,78,4125.74358974359,2589.7739354657742
11854,63,77,2946.103896103896,2531.046811742441
12607,39,76,478.5210526315788,2771.2149466157007
6223,63,76,14.814473684210528,11.02476523138712
11933,60,76,45.71447368421053,83.74556501053362
8969,67,75,660.8565333333335,1783.7275171920126
3674,67,75,30.88533333333331,55.456543427163666
16388,60,75,1101.28,2147.6971329620324
11933,63,75,53.52133333333333,80.27775165981888
14922,52,74,21797.22972972973,14339.153340706882
15085,60,73,118413.17808219178,89051.07357053128
11021,39,73,3018.082191780822,620.3810528850456
8835,39,72,192.8947222222222,518.6413813780199
10201,52,71,626.9366197183099,849.1591944578093
8415,60,70,22879.819785714284,29986.277323020095
11021,63,70,4858.785714285715,1277.7275575115727
14516,60,70,3517.7428571428572,5691.217950706948
4784,4,70,5177.977142857143,7393.925205525555
3626,52,70,680.35,1413.0523480091904
18076,60,69,769244.9275362319,152782.3667326012
3664,39,68,336.2485294117647,569.6724818836559
11457,52,68,790.4558823529412,1627.1089792655484
532,39,68,4122.229411764705,7774.498299097143
15085,52,68,173465.13235294117,122026.0748596145
4210,60,67,67558.79104477612,35019.53797803655
14516,52,67,3588.6567164179105,2081.004834439928
4566,39,65,683.857846153846,2042.4065640923866
18251,60,64,24.17812499999999,22.832251509309696
17782,63,64,12011.5356875,8119.530924208255
16492,67,64,76.68734375000008,172.41302891097536
11823,63,63,12098.611111111111,7382.507440341794
11933,52,62,96.95645161290322,139.5247701687222
11338,63,62,17081.450258064517,10447.266441127578
4563,63,62,6.867919354838709,15.997628923403484
17106,63,62,8137.451532258065,4470.382342036304
4210,52,62,121012.58064516129,55352.648864130744
10435,63,62,10491.554838709677,7836.896878757753
16918,67,61,27.9,34.622024639872436
14410,63,61,11540.430147540985,8373.964100995536
5217,67,61,4185.473114754098,26611.158716341775
3346,67,61,142.41819672131152,761.0783954180791
16918,39,61,182.19590163934427,785.0071316526354
3619,67,61,121.82475409836064,393.8112333135711
12607,52,60,433.35,910.2028496439681
4204,63,60,563.7666666666667,1665.6983256947285
12644,63,60,22611.433333333334,76389.14710728801
4084,63,60,24640.392566666666,23616.278305771913
15818,39,60,409.9711666666666,1569.5147543780229
11933,39,60,276.63,601.5187883737851
3547,67,59,43.728983050847454,103.18723371791512
16195,63,59,10574.30759322034,5217.831127100353
19279,52,59,1911.8474576271187,4423.371215366647
8415,52,59,51746.84745762712,68514.40620596804
17640,63,59,7741.188694915255,4316.813977003177
12159,63,59,4314.798135593221,3872.6808585615995
4706,52,58,403.32758620689657,926.1538169695557
13933,24,58,23480.107068965517,64234.80071417126
3254,63,58,10156.223344827584,4704.111488191249
16909,39,58,596.0210344827586,1751.341715424245
11854,52,58,4066.293103448276,3221.296301547907
9829,63,57,6124.082596491227,3761.5515788940997
11511,24,57,25190.50912280702,70879.34252727445
4231,63,57,22588.974684210527,11264.366444933752
9209,63,57,41713.213210526315,23701.80190853817
15014,63,56,11335.860553571429,5090.114646820596
13660,24,56,62375.01839285714,129746.53393447012
9249,63,56,10952.188428571428,6916.46257434237
16388,52,56,5493.107142857143,18064.792708350218
4204,60,56,1130.0267857142858,1749.3390088923659
8460,52,55,222806.4,135256.400990469
15670,60,55,4.0745454545454525,4.569502387144108
17599,63,55,3325.0925272727272,2932.26134481734
4863,24,55,39.92818181818182,49.667754093518404
18251,39,55,85.83454545454545,162.94560522197898
7922,22,54,12715.37037037037,30037.091188812672
8460,60,54,88111.9074074074,45028.13411933926
13066,60,54,50.23888888888889,34.5038238174364
5326,52,53,672396.9433962264,155309.02362677598
19279,39,53,747.2324528301888,1688.2816199094789
3619,39,52,443.219423076923,1410.0835523286355
6649,63,51,3149.9607843137255,1437.4377116705678
7922,60,50,13901.4,21230.242580809103
17121,67,50,1251.7289999999998,3756.8257393018635
12159,24,50,958.52,812.0635255939033
17389,67,50,479.50999999999993,2262.5430694022157
532,52,49,2001,3562.6351803926577
11823,24,49,4114.469387755102,3861.0988660152857
16699,24,49,1414.5714285714287,1436.8185802852986
6223,60,49,11.720408163265304,9.032842109109216
7012,39,49,106.60204081632654,229.703630642898
12659,67,49,150.80816326530623,599.5233374759144
4563,60,49,68.2524081632653,156.39077247426945
18251,52,48,52.14375000000001,101.38980041209355
16791,4,48,141085.41666666666,114315.4334680714
14097,67,48,73.79374999999996,427.27852567453493
5209,39,48,509.7873124999999,2645.594988091739
6223,39,48,27.657291666666666,36.33776299868037
5326,60,48,830038.0416666666,77915.55656097566
3495,39,47,59.888723404255316,168.08046369214372
16545,24,47,4210.340425531915,15078.857456119904
17086,60,47,6.6744680851063825,11.241308095403754
17599,24,47,850.4468085106383,712.5313821684775
3713,60,46,582.3804347826087,1863.7354210924345
14098,52,46,1614.4239130434783,3841.5334318916466
5209,52,46,354.1630434782609,584.5968887446013
16791,39,46,110530.43478260869,81913.81438296892
5412,39,45,104.84666666666668,229.64806175247088
16685,24,45,214208.88888888888,242264.0688011715
13995,24,45,18.104444444444443,15.677329074608986
18076,52,45,770930.8888888889,233587.40062885077
4610,67,44,100.23863636363653,294.8072152934008
8969,52,44,500.22727272727275,1186.6096444691098
3346,39,44,875.3522727272727,4324.146885881266
7012,67,44,45.392272727272726,98.20123813938108
16544,63,43,310160.488372093,246948.75668760148
5379,67,43,5284.455813953488,8489.795644301521
5412,67,43,182.07209302325583,456.01704136128325
11021,60,43,3366.5116279069766,454.0947740486341
8885,40,43,10.418139534883721,8.96074391009979
3664,52,43,620.7906976744187,1292.1007873090357
17106,24,43,3017.6976744186045,2405.626007922801
4690,39,43,194.40465116279069,418.6780152378233
6223,52,42,14.016666666666667,9.030053437237516
4084,24,42,4309.761904761905,3749.004831822032
17782,24,42,4453,4846.6610794491935
7922,24,42,42185.59523809524,51448.23846077842
16544,60,42,315736.35714285716,239051.27851430714
18015,24,42,8.205714285714286,5.948477653531012
4036,63,41,6698.8536585365855,10214.419686872074
9829,24,41,1712.6097560975609,1426.28952142586
3662,39,41,604.4924390243903,1935.2283030235267
4121,67,41,558.4997560975607,3079.5971863964473
10435,24,41,3637.8048780487807,3329.50422017623
7922,63,40,43545.65,79101.96901833417
5695,24,40,3.614125,7.1195597553061525
17640,24,40,2418.725,2413.2786928523196
16252,63,40,58869.925,101774.02804458205
5407,52,40,435.025,754.7288747457594
710,67,40,143.7775,222.31686113237117
11338,24,40,5101.15,4703.929679268175
6099,24,40,4.420275,8.260417295716664
16791,52,39,83635.89743589744,68495.5678415633
4231,24,39,10158.564102564103,7611.737669445458
17868,67,39,178.771794871795,694.8080753072485
5695,60,39,2.8093589743589744,5.017266619652166
8933,39,39,496.2094871794872,2152.979941825353
19918,40,39,13.23076923076923,9.191583492554031
4850,39,38,384.1460526315789,807.85811501623
14109,24,38,53084.13157894737,84227.38877122766
3667,67,38,858.9884210526311,3096.6636208723658
9209,24,38,13237.684210526315,12849.950712797683
16195,24,38,3643,2832.445985920631
16492,39,38,145.91578947368419,190.07348651773688
3254,24,38,3707.5,2544.3472200774386
15014,24,38,4007.2894736842104,3642.4599763570336
6099,63,37,4.748378378378376,23.056649215487035
4784,39,37,4049.891891891892,4063.7082834742832
13938,63,37,12433.783783783783,41658.737241398056
14410,24,37,3325.7837837837837,2883.4383391973633
8835,52,37,1312.945945945946,2458.8798146766153
11299,67,37,71.027027027027,322.49446561238983
6046,67,37,2242.370270270272,12643.203772369434
6099,60,36,25.118972222222222,46.072219947169245
3501,39,36,59.19083333333333,142.71434451330083
4854,67,36,245.54722222222225,602.1783025382429
3713,24,36,768.3216666666667,3437.35155873231
16126,60,36,5.095166666666667,14.057455881528178
9249,24,36,3604.5833333333335,2585.061372310358
15818,52,36,625,1376.061489259191
3316,39,36,9072.722222222223,14881.81849067869
5695,39,36,7.565694444444443,11.69634719526534
11469,67,36,6030.916666666667,27314.27960785042
4129,24,35,0.41897142857142844,0.7803181580324157
4553,67,35,49.23485714285714,112.41697620584404
4204,52,35,2528.9142857142856,4259.684960661014
9179,24,35,84336.57142857143,94219.11085922028
13138,24,35,14622.285714285714,14261.701728899032
6429,67,35,56.585714285714246,173.70098633301197
4863,63,35,24.11142857142857,21.081498610712412
12559,63,34,109424.41176470589,138230.44567297064
4718,39,34,52.39676470588236,99.87011154849756
3713,39,34,727.3294117647059,931.7878600807009
5695,63,34,4.684705882352941,6.863894982097228
15670,52,34,11.411764705882353,14.35009253312823
14707,67,34,1162.3294117647054,5133.961466750226
5137,67,34,14740.529411764706,13702.743135066261
